EMPLID,STUDENT_NAME,K_HOME_CAMPUS,STRM,REQ_TERM,ACTION_DT,PROG_REASON,ACAD_PROG_PRIMARY,DESCR2,SUBPLAN_DESCR,ACAD_PLAN,ACAD_SUB_PLAN,CIP_CODE,STDNT_ENRL_STATUS,ADVISOR_ID,ADVISOR_NAME,K_ADDRESS1_HOME,K_ADDRESS2_HOME,K_CITY_HOME,K_STATE_HOME,K_POSTAL_HOME,PHONE,EMAILID,PROG_ACTION,STDNT_CAR_NBR
1,Student 1,OWC,4234,4176,3/21/2018 0:00,,NOD,AA,,9002000000,,90000000,,111111111,Program1 Advisor,Doesn't matter,Extraneous Data,Russellville,KY,42276,5555555555,1@email.edu,DATA,2
2,Student 2,OWC,4234,4166,3/7/2017 0:00,,NOD,AA,,9002000000,,90000000,,0,random advisor,Doesn't matter,Extraneous Data,Beechmont,KY,42323,5555555555,2@email.edu,DATA,0
3,Student 3,OWC,4234,4164,10/17/2016 0:00,,NOD,AA,,9002000000,,90000000,,333333333,Program3 Advisor,Doesn't matter,Extraneous Data,Owensboro,KY,42301,5555555555,3@email.edu,DATA,0
4,Student 4,OWC,4234,4216,3/17/2022 0:00,,NOD,AA,,9002000000,,90000000,,111111111,Program1 Advisor 2,Doesn't matter,Extraneous Data,Shelbyville,KY,40065,5555555555,4@email.edu,ACTV,1
5,Student 5,OWC,4234,4174,10/5/2017 0:00,,NOD,AA,,9002000000,,90000000,,0,Program2 Advisor 2,Doesn't matter,Extraneous Data,Beaver Dam,KY,42320,5555555555,5@email.edu,ACTV,1
6,Student 6,OWC,4234,4164,10/7/2016 0:00,,NOD,AA,,9002000000,,90000000,,333333333,Program3 Advisor 2,Doesn't matter,Extraneous Data,Henderson,KY,42420,5555555555,6@email.edu,DATA,0
7,Student 7,OWC,4234,4226,3/22/2023 0:00,,NOD,AA,,9002000000,,90000000,,0,random advisor,Doesn't matter,Extraneous Data,Smiths Grove,KY,42171,5555555555,7@email.edu,ACTV,4
8,Student 8,OWC,4234,4164,10/11/2016 0:00,,NOD,AA,,9002000000,,90000000,,222222222,Program2 Advisor,Doesn't matter,Extraneous Data,Lewisport,KY,42351,5555555555,8@email.edu,DATA,0
9,Student 9,OWC,4234,4226,4/6/2023 0:00,,NOD,AA,,9002000000,,90000000,,333333333,Program3 Advisor,Doesn't matter,Extraneous Data,Olive Hill,KY,41164,5555555555,9@email.edu,DATA,1
10,Student 10,OWC,4234,4216,3/17/2022 0:00,,NOD,AA,,9002000000,,90000000,,111111111,Program1 Advisor,Doesn't matter,Extraneous Data,Leitchfield,KY,42754,5555555555,10@email.edu,PRGC,2
11,Unenrolled Student 11,OWC,4234,4226,4/6/2023 0:00,,NOD,AA,,9002000000,,90000000,,222222222,Program2 Advisor,Doesn't matter,Extraneous Data,Ferguson,KY,42533,5555555555,11@mail.du,DATA,0
12,Excepted Student 12,OWC,4234,4174,10/6/2017 0:00,,NOD,AA,,9002000000,,90000000,,0,random advisor,Doesn't matter,Extraneous Data,Philpot,KY,42366,5555555555,12@email.edu,DATA,0
13,Excepted Student 13,OWC,4234,4164,10/10/2016 0:00,,NOD,AA,,9002000000,,90000000,,111111111,Program1 Advisor,Doesn't matter,Extraneous Data,Philpot,KY,42366,5555555555,13@email.edu,DATA,0
14,Special Advisor Std14,OWC,4234,4186,3/12/2019 0:00,,NOD,AA,,9002000000,,90000000,,777777777,Untouchable Advisor,Doesn't matter,Extraneous Data,Elizabethtown,KY,42701,5555555555,14@email.edu,PRGC,1
15,Special Advisor Std15,OWC,4234,4226,4/6/2023 0:00,,NOD,AA,,9002000000,,90000000,,888888888,Self-Assigning Advisor,Doesn't matter,Extraneous Data,Grayson,KY,41143,5555555555,15@email.edu,DATA,0
